# assert	value	want	verdict
pool_size	8	> 2	PASS
pool_settled	quiet 20s	quiet	INFO
hashes_after_cut	5/5	5/5	PASS
cut_target	tp f1012467-de9d-09a9-8b49-62a43945c24b rg 49180 remote 0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb role active (by tunnel_role=active, busiest by carrier-growth)	an active tunnel's first hop	PASS
survivors_kept	7/7 (49179,49180,49181,49182,49183,49184,49187,49188 -> 49179,49180,49181,49182,49183,49184,49187,49188)	all but rg 49180	PASS
rg_ports_lost	none	at most rg 49180	PASS
rg_ports_gained	none	pool refill, not a rebuild	INFO
promote_event	tunnel_promoted x1	>=1 tunnel_promoted (or leg_promoted)	PASS
ttfb_after_cut_s	0.502	< 2	PASS
local_reorder_wedge	0 events, wedges counter 0	0	PASS
exit_reorder_wedge	0	0	PASS
