# assert	value	want	verdict
pool_size	7	> 2	PASS
pool_settled	quiet 20s	quiet	INFO
hashes_after_cut	5/5	5/5	PASS
cut_target	tp fdab37dd-c35e-05bc-9e51-cd6b024e3eec rg 49175 remote 03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf role active (by tunnel_role=active, busiest by carrier-growth)	an active tunnel's first hop	PASS
survivors_kept	7/7 (49174,49175,49177,49178,49179,49180,49181,49182 -> 49174,49175,49177,49178,49179,49180,49181,49182)	all but rg 49175	PASS
rg_ports_lost	none	at most rg 49175	PASS
rg_ports_gained	none	pool refill, not a rebuild	INFO
promote_event	tunnel_promoted x1	>=1 tunnel_promoted (or leg_promoted)	PASS
ttfb_after_cut_s	0.540	< 2	PASS
local_reorder_wedge	0 events, wedges counter 0	0	PASS
exit_reorder_wedge	0	0	PASS
